ID,Is_Lead
PVJYQQGT,0.86612135
GPUMRNWC,0.2049409
LXHCDSVH,0.7079762
BNIUPSVK,0.076119766
FW3QI3WW,0.23429193
IEEUGXMY,0.059163813
FVVXDLBO,0.41406822
UC2JJB6Y,0.026551973
3WPAHP52,1.0
HDTCJJOE,1.0
UCSB9GKK,0.9576935
HANBFYTH,0.25063175
FLUU2HNV,0.7444645
64PIYWDJ,0.89164984
9AHNH8ZX,0.086136684
KLHUI2SE,0.00087734195
YRHYUJFW,0.15256652
G5RWWH7F,0.069208235
SCBT9BAX,0.08659894
UGZGLVNB,0.118901506
2RRNUFBV,1.0
B6O59TEY,0.2583918
CYHRRYH6,0.9341267
GGYZVHWU,0.9993318
K6AM97RN,0.08024542
ATM5JQYM,0.052734263
7GYZSGWA,0.075930685
DFWUDQCR,0.19249247
E2Z98CR3,0.034251146
GD9KTSLY,0.99699914
2AMRA4OD,0.024037722
CFHZ3ZE6,1.0
BOMLVM5K,0.022505859
OBBEGBSY,1.0
FJEHOK8W,0.098128974
3GMAEVPJ,0.13899976
WAVDLUTH,0.052957498
6EN8GZX6,0.0701205
VXGA3GKB,1.0
U4MZ3U8C,0.29116803
GU4RDP8S,0.014046209
N3TPNHCD,0.093319334
JRRHWQC8,0.07836101
NZ5GBHZK,0.011498492
LCUC2LAJ,0.53235716
DJDSU9D2,0.88743424
647K6DBR,0.014605647
7NFXVESK,0.33445752
EWUWF25N,0.078404814
7QKYPLA8,0.99999976
XQVXWBNO,0.061452527
CNWH4MVA,0.029860865
AFJUJFQD,0.10475855
QKMFDX9H,1.0
YYMB5QBY,0.98907906
IRY3SEX7,0.045301817
CUAUZJH8,0.18972163
JYFUYQF5,0.9999999
I4NYEDFE,0.54564744
M3RSPRGQ,1.0
JIL3KWQN,0.28707075
X4B5ZBWU,0.08295677
AHYTHHSE,0.07400557
E7EHQEQK,0.26443386
FAMHAVN3,0.27979577
CCGKCTR6,0.04468445
6DTSELRV,0.050514698
LU8X3G6O,0.22888371
NPFDAUJY,0.9782853
DR9PXCFU,0.008527849
SHVZMWBV,0.037646513
8TGXGZHX,0.15627778
IKRSHJFW,0.6617469
TYKRZDCP,1.0
9IDA3L7P,0.31048363
ASOWCMDB,0.071480505
KZ5J2JGC,0.48466426
D5UCFKTV,0.093987964
2N8FFP7W,0.14924349
SA36MTFS,0.36546785
8UDMURUH,0.08781786
7VSQV6QN,0.99999785
IFUG9NC5,0.063112386
EQXDLQRG,0.05023796
JAR8YY9J,0.06318467
BS4TAF6M,0.042603776
WQJ9SPT9,0.016156336
7QHT4ON2,0.062848724
FNGPQN7B,0.9325894
DDOMDZRU,0.9999671
QYR9HXHP,1.0
S4NGXFXY,0.023271052
NOJ2KSCC,0.31875685
ZD2JRUNB,0.10761766
GZIPTSNN,0.18511125
LCFYUVE9,0.7186699
PPANVU9W,0.11794292
DRPV9STB,0.08814038
AFSPF3WZ,0.96337014
GPXEUNND,0.03720999
NSADMDSM,0.94837034
CKWJU8RQ,0.5446645
F7MNZSSU,0.9467356
BDGVMPZY,1.0
IA3MSRTR,0.9398499
JD3WTPMG,0.010931051
QT6DF6EW,0.59163237
NVDEMCZ2,0.99762964
9B6UTJVT,0.10240204
U6QYES9J,0.25689694
DZQPDSPS,0.7177103
CRGXVSBF,0.030240238
XIHJYS2V,0.27048752
7X2MC5GZ,0.015199047
ZBDVXTM5,0.10409814
UUBQPBR5,0.046095207
CUMZFBTD,1.0
E7QXYSQN,0.02337961
6UQAJP48,0.037205737
QHWB768Y,0.5483806
R6RXMXOJ,0.19275777
WXQGZG5K,0.07913694
GCUFKLHG,0.109606594
SJX4372M,0.025394266
VGEAMUZZ,0.021813413
ZWDXVKDF,0.8681618
WGMRCYLR,0.021276759
SI43K5CY,0.024297362
DSNBS2RS,1.0
XIMZCKSR,1.0
VEW9FXHT,0.027691478
JZJHDDDJ,0.0480853
4TYUR5HA,0.081385314
UHCDFDRX,0.06105984
E5QMOFUM,0.046730183
PSNVWDZH,0.03977098
5IQSWONG,0.4589206
CEAZEPY4,1.0
2TNRJXRX,0.10043355
BFROCARA,0.04319344
GRTJMRKM,0.022828147
6EDAM4EU,1.0
NRDB58KL,0.080630414
TCPJCWZR,0.31724104
KG8LD2BE,0.022416035
FHZ3XFDV,1.0
NZKCSDZ4,0.43737876
6DG6KJG4,0.03887347
BVPKDUNU,0.017483557
APR4PQ6X,0.06439896
HPWS8YFG,0.0299669
VRPBGTPU,0.023814008
XBCSX7G7,0.05789489
KEH3G8UA,0.882691
WXNAVFLT,0.0106897475
8J8NJ7M6,0.061907567
D4UW7Y85,0.098128974
SZRESXN7,0.17010452
UUQSXK5T,0.65925765
GPMUKOVY,0.55701053
6FYOKAZ5,0.16140257
ENUB4N9S,0.9999999
KERBCSGE,0.8460875
7HTA4C6J,0.884955
4BTVMT6W,0.07535781
MR3J9USD,1.0
7S83FNQW,0.07064309
MSOKLC7S,0.0064581335
GFMNATHU,0.03085959
NG4ABA6H,0.9999987
3GFHRAQY,0.5350723
BCSGZZPE,0.96042955
PQ9MCGZC,0.3839145
K7N596CG,0.07170875
8RUL6JEE,1.0
CVOFJRMP,1.0
B4FQX4HG,0.052687634
W7HAQKDV,0.04840015
8C5PKJ7G,1.0
E4GQJZSQ,1.0
UENREGNV,0.23739487
CC4LYHEW,0.8924983
GDKGLTBT,0.3040243
G3ER8CGX,0.20089914
ZG4KT59X,0.1293482
LW93KJMZ,0.29249623
9AR5FBSQ,0.111381814
FHLWDMRV,0.0933304
EON5DCWD,0.007760213
J8UXTMYV,0.028841576
IXBW5HZH,0.9644015
LDHQB458,0.92967147
GNHTIKF3,0.23675095
8NO22KTE,0.32606003
SGJFSSJK,0.3918673
TD8D3NDD,0.01837209
8RQ27JGU,0.5780088
A8GKBMBO,0.057922237
ODVMNUDE,1.0
EA5CRL7L,0.066302486
6UI7RPCH,0.039090015
7BJYM94L,0.03762646
X3PZJF7F,1.0
YCSSMPV7,1.0
4EV9VXL8,0.20131218
IPNJFQTY,0.999915
XPWNJRJC,0.18328534
3WHNSBRB,0.09206921
U245YKM8,0.100845926
68EFFKBB,1.0
NEUII7AB,0.39208665
F7CSLYWT,0.4892823
5EOMOZHG,0.15238644
6CYUTUFN,1.0
K7YUC8LF,0.99999976
LSMCXMXA,0.054890875
AALPBPBP,0.031249698
ZPX6VOH2,0.044778198
CDBFWQGM,0.99999964
JUQ76NJV,0.4420255
QHE7UULR,0.021412782
JRMNMZJA,0.06215369
GZ4EZZFX,0.80680144
9L9JFIAR,0.52638817
GTOE4RN4,0.8712572
CUYE7ST4,1.0
FFM6DHEA,0.5350827
5XUK7XLZ,1.0
4HTGJEEZ,0.043609824
RWYBAMRG,0.8786097
RQZGBGGN,0.99998176
ITVSUTU9,0.9999987
6UMDX7NQ,0.23748687
4IVKAFYY,0.5622826
ZKYOSQEU,0.62478936
9JYXIDL4,0.6185462
XNURWQBT,0.028520893
HVNIJFQC,0.09104694
CGGVBJKZ,1.0
JO9DV3NY,0.050458565
EYENUQR9,0.49531937
FPU4ZI8H,1.0
2MALVTY4,0.95835656
QN4REV7D,0.997482
27F5ZEQA,0.07157466
MKJUE4K2,0.93078
4ECWF4DN,0.059097692
KWBJAQMY,0.6100385
3YAW8OEY,0.03973193
ZHHFH7H9,0.009596473
BO2822VM,0.0381762
NQZUPVUA,0.06261753
MUT2PZ7T,0.33062515
2MFKPCPS,0.9999496
4RLVOVMJ,0.14351092
JISGN7XF,1.0
NNOFHDAC,0.036934145
ODE23CPW,0.094796196
ZNTYNFME,0.06915451
NQM48VKU,0.036240816
DGVBCYY7,0.050946455
9F38NUKC,1.0
3Z7KCIZS,0.89874375
ERAX3STD,0.187059
N9TCDYYG,0.028480235
R4UMWUZK,0.08579975
CPERTJBJ,0.059318744
4XK5BMA9,0.99634224
2PKDM5B2,0.08653574
SW5GTHZN,0.9999999
ATJAEQCJ,0.74538153
NHNXBSFY,0.3835708
NRGYTYZJ,0.011449141
UZNABWAT,0.0611624
CVP3VZN5,0.0863536
JEAYZXKC,0.109748684
87LFEVTZ,0.5591353
N7ZEJ2CQ,0.01657136
AQT3ADAP,0.09070237
WC8ROKF8,0.0853878
D9HWEXEV,1.0
MMHWGZCN,0.03757697
YKCAQFHU,0.6332276
NDPFBA9X,0.064323
3T6C7AEA,1.0
GZWB38J9,0.14269282
OFTXYNYQ,0.25251743
QYZQIXBJ,0.9211507
N7PJT5HO,1.0
JP2PNX9X,0.9965138
N3FUZDIH,0.10165401
UXKAVBLS,0.070564695
G24JWDKS,0.24248913
HQOKKQVX,0.08712637
HTXFVZZG,0.045938615
3TJKVA4J,0.104887746
CRGS7FPX,0.93999463
BTRJTMR3,0.07118338
ERLPQML7,0.067496374
9FDFXYAW,0.18674466
MEEKFDZZ,0.013840199
ZGY8ETLW,0.31284642
AXVUJHT9,0.10641913
35ILRW7D,0.12629786
DR2U5JQX,0.7937455
WHZ7CEY6,0.5793273
UCPMS2KF,0.016732736
HB6MJHDN,0.94333
7NWFPJ2X,0.99210805
4QXD6K4K,0.23479055
D6H3RTAZ,0.2071079
L67WSXUY,0.5133124
IXHVY78L,0.99999976
H6KE88O6,0.07794799
EAPKN7G8,0.07254623
GQXJSFJE,0.14466737
BVHSRABV,0.95034844
DUY76GFX,1.0
O7H9KPSD,0.13174126
6EDBA5AN,0.32133037
V24CAXFM,0.05237074
SERPSAWP,0.0045778197
H47QYY5K,0.05505989
5TYQNFPE,0.22665617
HGDB7KMR,0.99995804
DWH8Q2S3,0.771183
USNBQZAK,0.03232775
I89VR4AB,0.053337805
ATZVVXWJ,1.0
HOKP6ZTS,0.048428632
ZDKT2SSW,0.94887656
DK5HJYQE,1.0
ABKW7FGW,0.9999995
BCSW3W7T,0.08015567
6T4VNEWD,0.13478307
XBALBNYB,0.99999964
NWMJR3W5,0.022947086
Q5BJ4ULE,0.032788277
DOFSPEWD,0.09642091
ANX8FUBJ,0.24466021
KPR67SVO,0.87936324
44EV7IJE,0.01577779
VZEK4IOK,0.108831644
CZMKWRQN,0.07231734
VGQUQLXT,0.18446873
MS6GASNJ,0.054628454
4ENG9TKV,1.0
UHRRWLGR,1.0
APFSHZYP,0.030011266
M7MURWXC,1.0
3EOATQBT,0.9997893
MDZG7EZX,0.078040965
QZ6LSSTB,0.091606684
Y7EEZYYS,0.032624334
RYKLU6HL,0.13521472
CWQ8OAQ8,1.0
WSFUNE28,0.16594046
9PFQKPRB,0.017117675
MCLXWKBC,0.048683472
NWDXDZEN,0.99996936
EBLDBRDR,0.29760227
CJRW5JYT,0.88974154
CMMKRNUZ,0.19290984
EATPTPY3,0.06977881
J5AGUF6Q,0.040821437
8WYO2BBG,0.4340082
9EPXIMZB,0.10766743
UZERUG9W,0.029078744
QEQ79QUC,0.9247752
ZNHVE7QZ,0.50696146
PU3J43GY,0.99965024
HWDBXAUK,0.075772114
W74BHIAD,0.058238376
MGLDAPOA,0.008027798
BYFCPDX5,0.06118971
S2QDUDEJ,0.7899589
HBYRWBWL,0.12126003
8CIAWHWZ,0.89574814
ZFYFFXT5,0.11220021
UGIADHRB,0.45742768
JDDGRBSU,0.059035305
NBS2LTYW,0.57438785
DBKM3FRW,0.031423785
GLBHRXKB,0.020995319
9WDPTNCN,0.021028848
NVVVFQ9U,0.013801841
6AT635HW,0.24518062
HPHDI6NN,0.27061594
CPNAGJ95,0.06502402
FY6AFNCK,0.11040058
KWQAVZOE,0.051313706
HGBDE3LM,1.0
SYKEB6EV,0.79801095
9BROJWWS,0.8306465
CG8DGVAV,0.6442308
H7MT8CNK,0.030404132
GJVVWNKN,0.07352434
FXWTMJDG,0.9991027
OSNGFACM,0.9999995
PBFT55CF,1.0
4P8GFHSL,0.0032674493
9ZZ4F4XF,0.9369497
CN4YERMU,0.05055564
8TUDLTWK,0.18275084
USFZPY7Z,0.6445825
VBJXREA8,0.022213012
9LBNXHQ2,0.025973283
PY6HCDWF,0.058044128
9VJMJR6X,0.112916194
4GAEJIQO,0.046757713
F34SD6YQ,0.008689793
HZ3BZVH6,0.14635427
9WVBAWEY,0.018859986
BPNYRSEH,0.14531553
7OGHEHO3,0.093637
LRJZMHFT,0.061966173
PCHQW72T,0.598071
BFJQGRFT,0.9690646
UVJ6UYBF,1.0
LRVO7MCH,0.06288116
EAOF4EYO,0.54038286
5HPCBEQQ,0.9922334
8FJBKABE,0.05079178
27J5UDAU,0.019975722
4MAT9RSM,0.07345429
SBDGZSY9,0.04055837
HPYN9M2Z,0.07894544
G7D2BESM,0.30642125
TWN7YQPN,0.09758306
BJRGMNFZ,0.08265196
9HFPJV3S,0.95195407
6WKJAUAG,0.06154567
BZUANVCU,1.0
NYWLDSFZ,1.0
LTW8JGAZ,0.014251302
IMDQJUTW,0.99999964
AVHZRCH8,1.0
LTSDWAVT,0.48939306
9WVKLADB,0.75232804
GXDSQJS2,0.010013183
4IHXKUNA,0.1738653
BTYDUQPC,0.16241568
BKCNFM72,0.30119514
UMVSSZ9N,0.0676644
N2STVKOI,0.08995167
ZZJQB3EY,1.0
FZJK9GH7,0.99999654
NTIWWNVB,0.05646023
NBCRWUBE,0.3609116
UBPYOBYG,0.92166513
K8RKMGVW,0.05035636
HFTH3NC2,0.0232683
759LCPDE,0.007540643
DYKME2AY,0.11381557
VZHURNZD,0.06756589
EAJJBYHU,0.32349846
T97TKZNT,0.99726856
IXOEQ2YD,0.8563065
BWKXTBCF,0.08645518
DNKPRVB3,0.99999404
JQCF2PXG,0.18333937
GIABLCP4,0.13240682
FDIC7S35,1.0
5RTNFJEV,0.0017710289
OBZ4CU77,0.19048645
XMVX6WEB,0.03510819
MHARJGPA,0.0627829
2QI5GPDU,1.0
AE2NBAJ3,0.079767205
MDLANJZG,0.043665584
7TAP99MA,0.1757024
A6AMKR2Z,0.19979389
DX69CFXV,0.10813651
HKCKEKV4,1.0
CBNWXPJJ,0.08448989
Z3SJXFCA,0.06922941
RHTCABWR,1.0
ILGMVREG,0.09791216
BZK32SSP,0.015553457
25RR4UGE,0.03882886
9ZQFVNWY,0.6013473
FFSTFCAA,0.06807882
MBEDAX9Z,0.9350852
IYERPTUY,0.021188896
SBNMNBJE,0.6137134
CPWDDHBP,0.06076578
EN5EXSVB,0.0424999
EFT7687S,0.13707517
DUPIVFIW,0.012387821
HTVBHNFH,0.32334942
GFTV6AXH,0.020332415
NTNK2ZYN,0.023403544
NZ2MDLPM,0.48933494
UU4ECFQ5,0.9583273
FFWGNGVJ,0.9988605
JDQIBLRI,0.03675942
ZAWUVVWA,0.031575106
FC24V4XD,0.7813978
EKTZZYA2,1.0
RVRMHDD8,0.067261584
3RASGR5Y,0.24524812
QRBESHHG,0.0884067
MXYLFHSV,0.38151208
TY85POPR,0.0323097
BHXO9INE,0.95271206
S2RKLYZH,0.27352038
98GUQS9R,0.2726589
6VD8FK4Y,0.008300805
FMUHBZHQ,0.1195381
IHQY3US8,0.26470345
VDSNW6DR,0.76357716
JF8E8TCY,0.2225751
EKVBDN5B,0.06748179
LJOYHFHT,0.06295378
8WBDXKKG,1.0
LNAASJ6O,0.6053497
HGTW39J8,0.02416466
AMYH3YSJ,0.03400432
QZRPEWE6,0.18970224
9RBSJHBJ,0.04009339
EFZ3ADG9,0.024740264
CMQX6K9J,0.9999776
DBVXEJCR,0.019286515
PLYKWBFR,0.98287773
7QNURUDE,0.9999682
M8TD2YPV,0.29052004
JVJZVKUJ,0.010979515
XVUVCSM8,0.2150446
C9CMNJEH,0.89937496
IQLV6HTY,0.9719268
ELG7YZUM,0.02038961
PU9KWVOH,0.46199745
HAYJGRRV,0.86316866
KBKUHSLA,0.27582198
USL6KBDY,0.05729516
ZGLCSKTI,0.077706516
9JQWNRGA,0.100096576
EBVUVT88,0.0135119725
9ZU5GNSK,0.072906286
EC7NIRSV,0.022899657
JJ23TDTX,0.30369884
IZWY5RYD,0.072653845
TSYCNH93,0.072956346
QSY6Q77W,0.9999945
TOBSGQ3J,0.31846994
FKGE6YRE,0.113890715
MGAYPPJE,0.047504842
IJRFUH6V,1.0
KX9Y3LCV,0.0917571
2ZDDJYHE,0.10874745
NBMLMYQE,0.08180757
E8XWCECR,0.04034904
5FP4HKBU,0.024902917
FUKFFD3F,0.12085983
8BDSMQUY,0.78727674
39T7KUFC,1.0
HZSPWI2U,0.8529305
LEJJKOWC,0.67505515
DR5F2HVS,0.08417533
BJA5TRWJ,0.9999999
NCVH9WFE,0.17260124
ME3XYUC5,0.0071122875
VLCHSDHG,0.04239598
59CV3HQQ,0.34264967
JTAEBBQM,0.04602689
OBHDYLE2,1.0
EUEGA65T,0.072837375
MO9XWHWE,0.27052784
K3JSVGHE,0.044987436
JFHAQZQM,0.52162296
22IQJE4I,0.62067205
F57YH86H,0.9995944
BPNYWIPI,0.1283331
FJB78783,0.051147494
DIVE6ZUL,1.0
YACVPC9M,0.5279217
A3FM9UVE,0.9605093
9NE6ZC2Q,1.0
4NHTDBJN,0.09175186
3FH863BT,0.11068341
3UBBVIGN,1.0
NNP9TLV2,0.026240725
SA7VUUTE,0.96261406
ROG7ONJG,0.7622423
ICEBXJHF,0.06722534
HFTYHFAZ,0.09348172
EC5IQBEK,0.039920654
VQPXGNJV,0.34316793
BNE8WOYV,0.084063664
MKEXSYJN,0.031091433
B2MY2KQE,0.03569539
GZVND3WE,0.9995726
JZ8ASRBZ,0.12187569
UMQWVVHH,1.0
MDGISGP7,0.25436342
JMVHKVGP,0.99887425
G5GPWASE,0.8266387
A9H3PMBD,0.044674285
DKEMLQCU,0.25540087
VVPNRFRF,0.80930537
AVIBMJNL,0.9999999
3FNEIWTQ,0.08741279
WMQIVFIH,0.92964077
GUSEEXX5,1.0
HZBZ7QMH,0.0530855
KMTZWEXS,0.06915227
62AXBXBL,0.06585329
FW6GESXM,1.0
A67RATVB,0.95697373
HUWJHKEG,0.28525263
KCHF33KH,0.9118559
CJUKTB4B,0.025097653
FA8NWHGK,0.110568754
6UZE4NSH,0.08577304
4UUZBMXW,0.39794916
QMRXRYDB,0.080896504
M3A5BVAC,1.0
II63YKTB,0.075462855
4OYB27TY,0.057372723
IEN9X6H8,0.653077
U9VVATUM,0.24047354
SFOYCMRR,0.0386698
O7WYJHA5,0.048655756
STEKRYHT,0.2545289
QSX9J6OF,1.0
EVT46GYN,0.13124332
IQHUPR8Z,0.68878454
98WUTF8M,0.096997604
5JUSHPUM,0.08142822
9FMK8FZU,0.26519144
WPWW4JUN,0.5248491
8QUXAAHS,0.100485325
EU8RGIP7,0.065285355
BFT7ZJQO,0.04411547
4EQAO8W3,0.13549478
F3RWQSVQ,0.073597185
FUA3S84W,0.037437554
G9WITTNH,0.043855354
TE4CM6N8,0.7968743
L93TY7Q6,0.0723355
MK46HOFS,0.810285
NSUSAJ7C,0.09013651
ZQXJP6PH,0.24629503
YX6PNVKN,0.05298688
7V7IJDSU,0.2931746
BSDHE7F2,0.99999964
DV5EXZEZ,0.21608493
VDKS85PW,0.093130395
4W48SFHV,0.17324895
ANGVCUXZ,0.04142949
IOST7D8C,0.99998784
HAQAECZX,0.19906747
GAB49KQU,1.0
GEBCXWCU,0.11931015
JPT2DAGQ,0.16056103
RXYEGKFP,0.10732507
4R6HCRNW,0.14975405
MWRTSE9B,0.057963017
JAC7FJCA,0.53458154
5DCT43QX,0.13391326
GFZMAKDD,0.18182963
8WVWSZNF,0.014731195
KCBVOKZ8,0.9279119
NRCEX3F3,0.6042614
59KYREQZ,0.05359322
S2HTHOYG,0.019593492
98QJA4ZA,0.14482553
8S27HJRE,0.08374286
MTEWWARX,0.86384004
PH8LQUCB,0.23102733
BYB9URVZ,0.035277944
3TYYHEQU,0.45681575
WTOPV47E,0.28215787
HGNGPJXH,1.0
LE5M9QWH,0.011891557
7YR3Z54H,0.3210626
9DLYZCUW,0.120412014
RKYQQQL5,1.0
5UTFCCXZ,0.9765271
JCYRCTNE,1.0
AJIVJ4WE,0.6564004
JTCERL4D,1.0
XWS2DC9M,0.052691095
TVIX5INS,0.24940798
CIQZ4NJS,0.082599506
EJRPJ86R,0.008942632
HPQBQGWQ,0.05030772
FR38HJFG,0.30503568
JPXNNMXQ,1.0
HWED8UBF,1.0
CJ6ILARS,0.0875808
MBCCSXEA,0.38619998
4S84NTNM,0.03713647
ADGV3FDY,0.8426773
HSAJUCOR,0.2792264
HHV3JEXF,0.064325005
DHARALYV,0.09820347
KBVN65GH,0.9999994
UYHCQN7W,0.99971575
9VXSCU6F,0.19364545
F2DBEMXE,1.0
6VN358PX,0.33672065
T2J5Y8NB,0.08653594
HPXJGYEZ,0.9129033
CS5NAYPP,0.29262662
2UC6R5XE,0.8171449
KZ8TKYP4,0.023042867
Y8XIC3AH,0.113005064
GCT9PSGP,0.080629535
MPQQFX4I,0.9999318
8VCZYPZD,0.022523616
JCIQPZLE,0.9953473
AYSUMKSF,0.064540714
VVAVU9BN,1.0
F3NBRACB,0.06703201
FPIGVTHX,0.9999634
X7XNXJVW,0.45705858
JEKWRXYH,0.14494233
MNGYZO5U,1.0
FXPCJ7GE,0.03120993
BUXRB7CD,0.9384977
JV4MCTHN,0.019404404
JUFQ5PVJ,0.17335314
ENLVSM6O,0.086506
CJHC43KV,0.20212263
N4NSCGHE,0.3396654
FUVHQRWB,0.046579294
GTQHBCF7,0.6624397
DSB6DIRV,0.035582308
BVUKQQRV,0.890996
KZCHX6LW,0.059776206
M5XAM7HE,0.060362052
YODUTYZU,0.2879695
JEREISWR,0.4302054
FTHIZFGT,0.24797194
7TCFIDRX,0.055409245
V8CRCBLR,0.039711665
XEDZWKEX,0.24704178
RAD4GZKE,0.9742711
FY8NXMD2,0.050174717
KVZXQCUM,0.43273082
JXRP92WY,1.0
IYA3LI6E,0.080610774
FXEUAUMU,0.66029906
KXVZ3BNR,0.99050516
FTDASK8G,0.4741057
JZQZ7RWM,0.92577493
HNPMBXDN,0.30122033
3SUTYK7Z,0.03177241
EHAW2L37,0.06396539
H5HWWKTM,0.99958664
BQVSKRPN,0.1621795
EUK3CR9A,0.99998915
VRMGCTGP,0.0356009
ENDZJZGR,0.06356057
NSSYQFVN,0.10129413
7TRWUSYQ,0.5611581
7Z6JWBCW,0.8656592
7DR4UVAZ,0.07896668
H7YECJLG,0.47860688
CUNTRPMN,0.64579815
VQQEMTVX,1.0
NWMFKQLZ,0.07647482
FIUW4SGY,0.06539125
JCVXZSJS,0.78406346
VZRUA5XP,0.20977972
923REBWY,0.04872073
3FKWHVLC,0.039081622
V8JTYKKL,0.034021944
A4MRC8NU,0.47214532
CQJTCLCJ,0.3610081
L9O3NMDQ,0.050521653
7DFWCHAN,0.02119846
NK7CWSGK,0.9997286
OLLGNEK9,0.114840515
KVOLRR62,0.03373224
KAI7SJGY,0.9308875
5LYDNC27,1.0
LPGW9PN3,0.27718544
4WA5JPWP,0.03303311
GCDXLWAN,0.06096073
7V6GQUOD,0.16511835
ENYQCCWM,0.16272192
B3BUXXA4,0.05297138
PC7INMMF,0.07348998
6PJ9NW3X,0.27262726
DXYC8WIG,1.0
DPKUYNJK,0.4970602
6ZRSCJ6J,0.11089254
CPX4EYVB,0.90035397
T28RFIEL,0.099473156
D4GXBMM8,0.24944969
JMQJAZHA,0.9999052
RZSFMVB9,0.47521925
T2QWMIDV,1.0
GRM6UHIW,0.2621327
X2SD7FMK,0.767744
I4SENFDI,0.9012378
YSNU9M3K,0.99944323
USGXXPJH,0.06390458
QPQZPSMH,1.0
QPZDTV5V,0.094503
H28ZERNP,0.23494479
UNWHQWCY,0.26439172
7N8BRMDU,0.08419847
DFMGCWHV,0.06633336
8FP6ENF4,0.2377266
FAO6XGQE,0.15970062
X5FCJHQ5,0.13675769
GGFPEVFR,0.10587857
AP9SCCXC,0.063415475
WONWP8QB,0.068324104
CWEKUQ4P,0.99935454
C5CGJVQZ,0.43069938
HO4YRWYD,0.036227055
HLIYGGYA,0.034187473
QKAJK2VB,0.44150272
ZEZT2RND,1.0
9AVBPCUN,0.07325256
EZYK55RU,0.090919375
XLUTOAMB,0.27192658
DWU7CKFE,1.0
D6DQQIBU,1.0
QHQJZFZU,0.95421684
YP9SF5M4,0.5446377
VMYWFYEL,0.018598098
4XPSMAPQ,0.48626363
FKF7TQWV,0.06970774
FFSKJ4PJ,0.0541041
5UTEZSAB,0.059683688
5NKBKDHR,0.12063297
